slide_id,conch_feature,label
C3N-01409-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01409-23.h5,CPTAC-LUAD
C3N-03222-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03222-23.h5,CPTAC-LUAD
C3L-03271-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03271-24.h5,CPTAC-LUAD
C3N-00959-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00959-27.h5,CPTAC-LUAD
C3N-00572-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00572-23.h5,CPTAC-LUAD
C3N-01030-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01030-26.h5,CPTAC-LUAD
C3N-02919-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02919-23.h5,CPTAC-LUAD
C3N-03038-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03038-23.h5,CPTAC-LUAD
C3N-02150-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02150-22.h5,CPTAC-LUAD
C3N-01019-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01019-21.h5,CPTAC-LUAD
C3L-00444-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00444-26.h5,CPTAC-LUAD
C3N-02379-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02379-23.h5,CPTAC-LUAD
C3N-00546-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00546-21.h5,CPTAC-LUAD
C3N-02234-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02234-27.h5,CPTAC-LUAD
C3N-03073-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03073-22.h5,CPTAC-LUAD
C3L-03726-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03726-24.h5,CPTAC-LUAD
C3N-02149-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02149-27.h5,CPTAC-LUAD
C3L-00412-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00412-21.h5,CPTAC-LUAD
C3L-04031-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04031-25.h5,CPTAC-LUAD
C3N-00704-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00704-21.h5,CPTAC-LUAD
C3N-00180-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00180-27.h5,CPTAC-LUAD
C3L-04743-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04743-26.h5,CPTAC-LUAD
C3N-02152-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02152-24.h5,CPTAC-LUAD
C3N-02282-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02282-25.h5,CPTAC-LUAD
C3L-00001-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00001-26.h5,CPTAC-LUAD
C3L-02661-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02661-25.h5,CPTAC-LUAD
C3L-04376-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04376-24.h5,CPTAC-LUAD
C3L-01889-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01889-21.h5,CPTAC-LUAD
C3N-01074-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01074-26.h5,CPTAC-LUAD
C3N-02144-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02144-27.h5,CPTAC-LUAD
C3N-02281-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02281-23.h5,CPTAC-LUAD
C3N-02149-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02149-24.h5,CPTAC-LUAD
C3L-04365-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04365-21.h5,CPTAC-LUAD
C3N-02143-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02143-23.h5,CPTAC-LUAD
C3L-00510-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00510-24.h5,CPTAC-LUAD
C3N-02922-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02922-22.h5,CPTAC-LUAD
C3N-01024-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01024-24.h5,CPTAC-LUAD
C3N-03921-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03921-23.h5,CPTAC-LUAD
C3N-02728-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02728-26.h5,CPTAC-LUAD
C3L-02957-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02957-26.h5,CPTAC-LUAD
C3N-04330-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-04330-23.h5,CPTAC-LUAD
C3N-02715-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02715-23.h5,CPTAC-LUAD
C3N-04714-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-04714-21.h5,CPTAC-LUAD
C3L-00893-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00893-22.h5,CPTAC-LUAD
C3L-04370-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04370-24.h5,CPTAC-LUAD
C3N-01842-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01842-22.h5,CPTAC-LUAD
C3N-03074-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03074-23.h5,CPTAC-LUAD
C3N-00551-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00551-22.h5,CPTAC-LUAD
C3N-02087-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02087-23.h5,CPTAC-LUAD
C3N-02000-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02000-23.h5,CPTAC-LUAD
C3L-04040-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04040-24.h5,CPTAC-LUAD
C3N-03212-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03212-23.h5,CPTAC-LUAD
C3N-00180-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00180-22.h5,CPTAC-LUAD
C3N-02192-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02192-21.h5,CPTAC-LUAD
C3N-02242-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02242-22.h5,CPTAC-LUAD
C3L-04376-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04376-23.h5,CPTAC-LUAD
C3N-02003-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02003-23.h5,CPTAC-LUAD
C3N-00560-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00560-22.h5,CPTAC-LUAD
C3N-00579-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00579-27.h5,CPTAC-LUAD
C3N-00704-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00704-24.h5,CPTAC-LUAD
C3N-02000-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02000-22.h5,CPTAC-LUAD
C3L-03985-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03985-25.h5,CPTAC-LUAD
C3N-02193-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02193-27.h5,CPTAC-LUAD
C3L-02549-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02549-26.h5,CPTAC-LUAD
C3L-00913-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00913-22.h5,CPTAC-LUAD
C3N-02572-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02572-21.h5,CPTAC-LUAD
C3N-02729-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02729-21.h5,CPTAC-LUAD
C3N-00556-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00556-21.h5,CPTAC-LUAD
C3N-02153-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02153-24.h5,CPTAC-LUAD
C3L-03976-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03976-28.h5,CPTAC-LUAD
C3N-02916-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02916-23.h5,CPTAC-LUAD
C3N-02529-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02529-21.h5,CPTAC-LUAD
C3N-02920-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02920-23.h5,CPTAC-LUAD
C3N-02087-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02087-21.h5,CPTAC-LUAD
C3N-00549-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00549-23.h5,CPTAC-LUAD
C3N-00560-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00560-21.h5,CPTAC-LUAD
C3L-04037-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04037-27.h5,CPTAC-LUAD
C3N-03054-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03054-22.h5,CPTAC-LUAD
C3L-03463-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03463-27.h5,CPTAC-LUAD
C3L-03976-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03976-26.h5,CPTAC-LUAD
C3N-00217-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00217-22.h5,CPTAC-LUAD
C3L-02643-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02643-22.h5,CPTAC-LUAD
C3L-02165-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02165-25.h5,CPTAC-LUAD
C3N-02192-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02192-24.h5,CPTAC-LUAD
C3L-04376-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04376-26.h5,CPTAC-LUAD
C3L-00422-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00422-21.h5,CPTAC-LUAD
C3L-00083-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00083-26.h5,CPTAC-LUAD
C3L-00913-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00913-26.h5,CPTAC-LUAD
C3N-03080-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03080-21.h5,CPTAC-LUAD
C3N-02764-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02764-23.h5,CPTAC-LUAD
C3N-00180-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00180-26.h5,CPTAC-LUAD
C3L-00444-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00444-28.h5,CPTAC-LUAD
C3L-01330-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01330-21.h5,CPTAC-LUAD
C3N-03764-29,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03764-29.h5,CPTAC-LUAD
C3N-02158-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02158-24.h5,CPTAC-LUAD
C3N-01489-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01489-22.h5,CPTAC-LUAD
C3L-02549-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02549-21.h5,CPTAC-LUAD
C3L-04759-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04759-27.h5,CPTAC-LUAD
C3N-01019-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01019-26.h5,CPTAC-LUAD
C3N-02919-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02919-22.h5,CPTAC-LUAD
C3N-02193-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02193-25.h5,CPTAC-LUAD
C3N-01417-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01417-23.h5,CPTAC-LUAD
C3N-02586-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02586-22.h5,CPTAC-LUAD
C3N-00294-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00294-21.h5,CPTAC-LUAD
C3L-02515-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02515-23.h5,CPTAC-LUAD
C3N-01016-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01016-23.h5,CPTAC-LUAD
C3L-04365-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04365-24.h5,CPTAC-LUAD
C3L-01683-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01683-26.h5,CPTAC-LUAD
C3L-01330-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01330-23.h5,CPTAC-LUAD
C3N-02088-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02088-23.h5,CPTAC-LUAD
C3L-04759-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04759-25.h5,CPTAC-LUAD
C3N-00217-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00217-21.h5,CPTAC-LUAD
C3N-02240-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02240-23.h5,CPTAC-LUAD
C3N-02379-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02379-22.h5,CPTAC-LUAD
C3N-00199-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00199-22.h5,CPTAC-LUAD
C3N-01488-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01488-23.h5,CPTAC-LUAD
C3N-02000-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02000-21.h5,CPTAC-LUAD
C3L-04743-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04743-24.h5,CPTAC-LUAD
C3L-00368-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00368-22.h5,CPTAC-LUAD
C3N-03202-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03202-23.h5,CPTAC-LUAD
C3L-04370-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04370-28.h5,CPTAC-LUAD
C3L-01330-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01330-24.h5,CPTAC-LUAD
C3N-00167-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00167-26.h5,CPTAC-LUAD
C3N-00545-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00545-26.h5,CPTAC-LUAD
C3N-00550-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00550-23.h5,CPTAC-LUAD
C3N-00552-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00552-24.h5,CPTAC-LUAD
C3N-03222-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03222-21.h5,CPTAC-LUAD
C3N-00572-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00572-22.h5,CPTAC-LUAD
C3N-01799-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01799-22.h5,CPTAC-LUAD
C3L-01890-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01890-26.h5,CPTAC-LUAD
C3N-01409-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01409-21.h5,CPTAC-LUAD
C3N-02948-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02948-26.h5,CPTAC-LUAD
C3N-01414-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01414-24.h5,CPTAC-LUAD
C3L-00144-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00144-21.h5,CPTAC-LUAD
C3L-03726-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03726-25.h5,CPTAC-LUAD
C3N-00545-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00545-22.h5,CPTAC-LUAD
C3N-02153-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02153-26.h5,CPTAC-LUAD
C3N-00578-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00578-21.h5,CPTAC-LUAD
C3N-02572-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02572-23.h5,CPTAC-LUAD
C3N-00199-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00199-23.h5,CPTAC-LUAD
C3N-02230-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02230-22.h5,CPTAC-LUAD
C3N-02923-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02923-22.h5,CPTAC-LUAD
C3L-01632-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01632-26.h5,CPTAC-LUAD
C3L-04365-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04365-23.h5,CPTAC-LUAD
C3L-02834-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02834-23.h5,CPTAC-LUAD
C3N-02672-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02672-21.h5,CPTAC-LUAD
C3N-01405-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01405-21.h5,CPTAC-LUAD
C3L-02169-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02169-26.h5,CPTAC-LUAD
C3N-02433-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02433-21.h5,CPTAC-LUAD
C3L-01924-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01924-24.h5,CPTAC-LUAD
C3N-01409-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01409-22.h5,CPTAC-LUAD
C3L-04037-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04037-24.h5,CPTAC-LUAD
C3L-02515-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02515-22.h5,CPTAC-LUAD
C3L-04033-28,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04033-28.h5,CPTAC-LUAD
C3N-02150-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02150-23.h5,CPTAC-LUAD
C3N-00559-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00559-24.h5,CPTAC-LUAD
C3L-03268-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-03268-25.h5,CPTAC-LUAD
C3N-04330-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-04330-22.h5,CPTAC-LUAD
C3L-00604-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00604-23.h5,CPTAC-LUAD
C3N-00572-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00572-26.h5,CPTAC-LUAD
C3N-03063-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03063-21.h5,CPTAC-LUAD
C3L-00279-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00279-23.h5,CPTAC-LUAD
C3L-01683-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-01683-27.h5,CPTAC-LUAD
C3N-03238-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03238-23.h5,CPTAC-LUAD
C3N-02421-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02421-22.h5,CPTAC-LUAD
C3L-02967-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02967-26.h5,CPTAC-LUAD
C3L-04031-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04031-21.h5,CPTAC-LUAD
C3L-04037-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04037-22.h5,CPTAC-LUAD
C3L-00510-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00510-26.h5,CPTAC-LUAD
C3N-03210-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03210-22.h5,CPTAC-LUAD
C3N-02193-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02193-26.h5,CPTAC-LUAD
C3L-04040-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04040-21.h5,CPTAC-LUAD
C3N-02143-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02143-27.h5,CPTAC-LUAD
C3N-02141-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02141-23.h5,CPTAC-LUAD
C3N-00167-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00167-27.h5,CPTAC-LUAD
C3L-02654-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02654-27.h5,CPTAC-LUAD
C3L-02601-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-02601-26.h5,CPTAC-LUAD
C3L-00095-23,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00095-23.h5,CPTAC-LUAD
C3N-00545-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00545-24.h5,CPTAC-LUAD
C3N-00580-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00580-26.h5,CPTAC-LUAD
C3N-01419-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01419-26.h5,CPTAC-LUAD
C3N-01410-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01410-24.h5,CPTAC-LUAD
C3L-04373-25,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-04373-25.h5,CPTAC-LUAD
C3L-00893-21,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3L-00893-21.h5,CPTAC-LUAD
C3N-02237-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02237-24.h5,CPTAC-LUAD
C3N-02671-29,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02671-29.h5,CPTAC-LUAD
C3N-00223-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00223-26.h5,CPTAC-LUAD
C3N-02423-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02423-22.h5,CPTAC-LUAD
C3N-03921-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-03921-22.h5,CPTAC-LUAD
C3N-02192-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02192-27.h5,CPTAC-LUAD
C3N-01408-27,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01408-27.h5,CPTAC-LUAD
C3N-01030-22,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-01030-22.h5,CPTAC-LUAD
C3N-00433-26,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-00433-26.h5,CPTAC-LUAD
C3N-02916-24,datasets/features/CPTAC/LUAD/conch_features/h5_files/C3N-02916-24.h5,CPTAC-LUAD
